Force (N),Position (mm),Time (min),Engineering Stress,Engineering Strain,True Strain,True Stress
2406.3,0.281816,0.0754,30.63796316,0.0563632,0.054832066,32.36481681
2444.74,0.283945,0.0761,31.12739645,0.056789,0.055235065,32.89509016
2481.54,0.286254,0.0767,31.5959486,0.0572508,0.055671954,33.40484193
2522.32,0.287802,0.0774,32.11517568,0.0575604,0.055964746,33.96373804
2561.05,0.289548,0.078,32.60830136,0.0579096,0.056294886,34.49663505
2597.98,0.291719,0.0787,33.07850872,0.0583438,0.056705233,35.00843462
2638.88,0.29359,0.0793,33.5992637,0.058718,0.057058742,35.57214526
2677.17,0.295435,0.0799,34.08678712,0.059087,0.057407216,36.10087311
2718.37,0.297855,0.0806,34.61136181,0.059571,0.057864109,36.67319525
2760.37,0.299259,0.0812,35.14612242,0.0598518,0.058129087,37.24968111
2800.98,0.301378,0.0819,35.663185,0.0602756,0.058528874,37.81280487
2844.65,0.302801,0.0825,36.21920871,0.0605602,0.058797259,38.41265123
2887.44,0.304436,0.0832,36.76402791,0.0608872,0.059105539,39.00248663
2928.62,0.306436,0.0838,37.28834796,0.0612872,0.059482511,39.57364639
2975.07,0.308454,0.0845,37.87976772,0.0616908,0.059862732,40.2166009
3018.63,0.309871,0.0851,38.43439087,0.0619742,0.060129629,40.8163315
3062.53,0.311437,0.0858,38.99334303,0.0622874,0.060424508,41.42213698
3109.06,0.313274,0.0864,39.58578139,0.0626548,0.060770305,42.06602061
3151.99,0.315431,0.0871,40.13238313,0.0630862,0.061176187,42.66418267
3197.79,0.316601,0.0877,40.71552684,0.0633202,0.061396277,43.29364214
3241.79,0.318164,0.0884,41.27575224,0.0636328,0.061690219,43.90224392
3288.93,0.320133,0.089,41.87595736,0.0640266,0.062060391,44.55713253
3337.61,0.322117,0.0897,42.49577037,0.0644234,0.062433244,45.23349238
3381.6,0.32349,0.0903,43.05586844,0.064698,0.062691191,45.84149702
3428.18,0.32502,0.091,43.64894342,0.065004,0.062978555,46.48629934
3474.79,0.326803,0.0916,44.24240038,0.0653606,0.063313333,47.13411021
3517.85,0.328977,0.0923,44.79065732,0.0657954,0.063721375,47.73767654
3565.29,0.330219,0.0929,45.39468216,0.0660438,0.063954413,48.39271947
3611,0.33181,0.0936,45.97667996,0.066362,0.064252855,49.0277844
3655.18,0.333662,0.0942,46.53919719,0.0667324,0.064600144,49.64486951
3703.42,0.335666,0.0949,47.15340795,0.0671332,0.064975801,50.31896711
3746.78,0.337043,0.0955,47.70548461,0.0674086,0.065233842,50.92124454
3792.56,0.338633,0.0962,48.28837368,0.0677266,0.065531715,51.55878105
3836.95,0.340841,0.0968,48.85356471,0.0681682,0.065945219,52.18382428
3881.86,0.342596,0.0975,49.42537659,0.0685192,0.066273765,52.81196385
3928.02,0.343869,0.0981,50.01310397,0.0687738,0.06651201,53.45269517
3971.54,0.345546,0.0988,50.56721781,0.0691092,0.066825778,54.06187778
4014.48,0.347419,0.0994,51.11394688,0.0694838,0.067176102,54.66553814
4057.9,0.349518,0.1,51.66678749,0.0699036,0.067568551,55.27848193
4102.03,0.350933,0.101,52.2286681,0.0701866,0.067833026,55.89442073
4145.81,0.352613,0.101,52.78609237,0.0705226,0.06814694,56.50870485
4189.92,0.355233,0.102,53.34771833,0.0710466,0.068636301,57.13789234
4232.51,0.35673,0.103,53.88999105,0.071346,0.068915802,57.73482636
4277.06,0.358638,0.103,54.45721927,0.0717276,0.069271926,58.36330491
4320.48,0.360219,0.104,55.01005988,0.0720438,0.06956692,58.97319363
4362.17,0.362546,0.105,55.54087345,0.0725092,0.07000095,59.56809775
4406.59,0.36376,0.105,56.10644645,0.072752,0.070227309,60.18830265
4445.2,0.365644,0.106,56.59804424,0.0731288,0.070578494,60.7369913
4488.29,0.367429,0.107,57.14668316,0.0734858,0.07091111,61.34615289
4530.86,0.368984,0.107,57.68870124,0.0737968,0.071200779,61.94594278
4571.5,0.37112,0.108,58.20614579,0.074224,0.07159854,62.52643875
4614.21,0.372459,0.109,58.7499464,0.0744918,0.071847806,63.12633565
4655.46,0.374262,0.109,59.27515771,0.0748524,0.07218335,63.71204552
4693.81,0.376102,0.11,59.76344507,0.0752204,0.072525664,64.25887532
4739.37,0.378412,0.11,60.34353301,0.0756824,0.072955251,64.91047641
4778.16,0.379871,0.111,60.83742263,0.0759742,0.073226484,65.45949715
4820.04,0.381664,0.112,61.37065535,0.0763328,0.073559708,66.05524931
4862.12,0.383507,0.112,61.90643455,0.0767014,0.073902108,66.65474475
4902.37,0.384881,0.113,62.41891347,0.0769762,0.0741573,67.22368424
4943.5,0.387229,0.114,62.94259689,0.0774458,0.07459324,67.81723666
4983.76,0.389397,0.114,63.45520313,0.0778794,0.074995592,68.39705628
5024.17,0.391846,0.115,63.96971923,0.0783692,0.0754499,68.98297496
5065.17,0.393316,0.116,64.49174745,0.0786632,0.075722497,69.56487468
5104.22,0.395478,0.116,64.98894749,0.0790956,0.076123283,70.12928729
5146.78,0.39644,0.117,65.53083824,0.079288,0.076301564,70.72664734
5186.2,0.398942,0.118,66.03274927,0.0797884,0.076765096,71.30139668
5227.39,0.400794,0.118,66.55719664,0.0801588,0.077108067,71.89234165
5267.31,0.402678,0.119,67.06547386,0.0805356,0.077456844,72.46663204
5306.88,0.403928,0.12,67.56929475,0.0807856,0.077688184,73.02792077
5347.93,0.40619,0.12,68.09195958,0.081238,0.078106681,73.6236142
5387.22,0.407771,0.121,68.5922154,0.0815542,0.078399081,74.18619866
5428.45,0.410137,0.122,69.11717207,0.0820274,0.078836504,74.78667399
5467.63,0.412586,0.122,69.61602732,0.0825172,0.07928907,75.36054697
5508.27,0.413774,0.123,70.13347187,0.0827548,0.079508534,75.93735331
5545.93,0.415733,0.123,70.61297388,0.0831466,0.079870324,76.48420258
5589.9,0.41795,0.124,71.17281731,0.08359,0.080279603,77.12215311
5628.89,0.41959,0.125,71.66925341,0.083918,0.080582254,77.68359382
5668.08,0.421289,0.125,72.16823599,0.0842578,0.080895698,78.24897278
5708.66,0.423366,0.126,72.68491659,0.0846732,0.081278743,78.83938107
5743.73,0.425606,0.127,73.1314417,0.0851212,0.081691686,79.35647778
5786.23,0.427222,0.127,73.67256851,0.0854444,0.081989488,79.96747692
5826.16,0.428903,0.128,74.18097306,0.0857806,0.082299175,80.54426144
5860.44,0.430859,0.129,74.61743958,0.0861718,0.082659404,81.04735866
5903.51,0.433246,0.129,75.16582385,0.0866492,0.083098833,81.67888235
5941.38,0.434922,0.13,75.64799966,0.0869844,0.083407257,82.22819552
5980.63,0.436642,0.131,76.14774618,0.0873284,0.083723678,82.79760702
6019.63,0.438752,0.131,76.64430961,0.0877504,0.08411171,83.36987843
6055.83,0.440773,0.132,77.10522232,0.0881546,0.084483234,83.90240235
6096.53,0.442635,0.133,77.62343082,0.088527,0.084825406,84.49520028
6135.49,0.444379,0.133,78.11948494,0.0888758,0.085145788,85.06241666
6172.9,0.446527,0.134,78.59580386,0.0893054,0.085540245,85.61483356
6211.58,0.448785,0.135,79.08829291,0.089757,0.085954736,86.18702082
6249.1,0.450435,0.135,79.56601239,0.090087,0.08625751,86.73387575
6287.32,0.452211,0.136,80.05264454,0.0904422,0.086583302,87.29278183
6327.23,0.454269,0.136,80.56079445,0.0908538,0.086960692,87.88004875
6363.79,0.456606,0.137,81.02629082,0.0913212,0.087389072,88.42570893
6403.29,0.45817,0.138,81.52922044,0.091634,0.087675656,89.00006903
6440.82,0.459982,0.138,82.00706725,0.0919964,0.088007581,89.55142221
6477.29,0.462144,0.139,82.47141771,0.0924288,0.088403474,90.09415188
6515.95,0.464423,0.14,82.96365212,0.0928846,0.088820623,90.66969776
6551.94,0.465924,0.14,83.42189103,0.0931848,0.089095271,91.19554326
6589.3,0.467778,0.141,83.89757332,0.0935556,0.089434406,91.74666113
6626.72,0.470037,0.142,84.37401956,0.0940074,0.089847468,92.30580177
6662.68,0.471558,0.142,84.8318765,0.0943116,0.09012549,92.8325065
6700.23,0.474024,0.143,85.30997795,0.0948048,0.090576083,93.39777335
6736.66,0.475901,0.144,85.77381911,0.0951802,0.090918916,93.93778837
6771.76,0.478084,0.144,86.22072619,0.0956168,0.091317492,94.46487613
6809.84,0.480396,0.145,86.70557581,0.0960792,0.091739449,95.03617817
6843.46,0.482031,0.146,87.13363895,0.0964062,0.09203774,95.53386197
6879.83,0.484023,0.146,87.59671617,0.0968046,0.092401043,96.07648124
6916.01,0.48616,0.147,88.05737424,0.097232,0.092790645,96.61936885
6949.96,0.487738,0.147,88.48963906,0.0975476,0.093078236,97.12159098
6985.48,0.490195,0.148,88.94189375,0.098039,0.093525862,97.66166807
7020.63,0.492233,0.149,89.38943745,0.0984466,0.093897,98.18952364
7053.88,0.494847,0.149,89.8127896,0.0989694,0.094372832,98.7015075
7090.87,0.496936,0.15,90.28376091,0.0993872,0.094752934,99.25681111
7123.35,0.499198,0.151,90.69730911,0.0998396,0.095164351,99.75249217
7158.28,0.50114,0.151,91.14205168,0.100228,0.095517431,100.2770372
7192.27,0.502884,0.152,91.5748258,0.1005768,0.095834406,100.7851287
7224.25,0.505384,0.153,91.98200781,0.1010768,0.09628861,101.2792548
7258.36,0.507623,0.153,92.41630982,0.1015246,0.09669522,101.7988387
7290.5,0.509608,0.154,92.82552901,0.1019216,0.097055565,102.2864554
7322.37,0.51144,0.155,93.23131045,0.102288,0.09738802,102.7677547
7356.75,0.513768,0.155,93.66905021,0.1027536,0.097810325,103.2938823
7387.45,0.515543,0.156,94.05993475,0.1031086,0.098132194,103.7583229
7419.94,0.518183,0.157,94.47361028,0.1036366,0.098610727,104.264534
7451.75,0.52003,0.157,94.87862777,0.104006,0.098945383,104.7465743
7483.36,0.522496,0.158,95.28109879,0.1044992,0.09939202,105.2378974
7515.36,0.524611,0.159,95.68853545,0.1049222,0.099774925,105.7283871
7545.64,0.526893,0.159,96.07407238,0.1053786,0.100187901,106.1982236
7575.28,0.528806,0.16,96.45146058,0.1057612,0.100533967,106.6522828
7607.87,0.531217,0.16,96.86640935,0.1062434,0.100969951,107.157826
7636.4,0.533046,0.161,97.22966459,0.1066092,0.101300565,107.5952414
7666.93,0.535756,0.162,97.61838463,0.1071512,0.10179023,108.0783117
7696.74,0.537599,0.162,97.99793734,0.1075198,0.102123101,108.534656
7726.11,0.540187,0.163,98.37188779,0.1080374,0.102590342,108.9997308
7756.31,0.541948,0.164,98.75640613,0.1083896,0.102908151,109.4605735
7785.12,0.544712,0.164,99.12322645,0.1089424,0.103406768,109.9219486
7812.64,0.546639,0.165,99.47362197,0.1093278,0.103754246,110.3488542
7843.94,0.54916,0.166,99.87214595,0.109832,0.104208653,110.8413035
7871.38,0.550994,0.166,100.2215229,0.1101988,0.104539098,111.2658144
7899.49,0.55356,0.167,100.5794305,0.110712,0.105001251,111.7147804
7927.26,0.555565,0.168,100.9330091,0.111113,0.105362216,112.1479786
7953.71,0.558413,0.168,101.269781,0.1116826,0.105874723,112.5798534
7983.57,0.560156,0.169,101.6499703,0.1120312,0.106188253,113.0379385
8010.21,0.562995,0.17,101.9891613,0.112599,0.10669872,113.4730389
8034.86,0.565459,0.17,102.3030149,0.1130918,0.107141549,113.872647
8064.4,0.568041,0.171,102.6791298,0.1136082,0.107605374,114.344321
8092.62,0.570184,0.172,103.038438,0.1140368,0.107990175,114.7886118
8116.57,0.572847,0.172,103.3433789,0.1145694,0.108468142,115.1833678
8144.92,0.574639,0.173,103.7043423,0.1149278,0.108789649,115.6228542
8170.69,0.577014,0.173,104.0324562,0.1154028,0.109215595,116.0380929
8196.47,0.579374,0.174,104.3606973,0.1158748,0.109638671,116.4534722
8222.55,0.581777,0.175,104.6927582,0.1163554,0.110069272,116.8743259
8247.55,0.583844,0.175,105.0110681,0.1167688,0.110439516,117.2730845
8273.05,0.586093,0.176,105.3357442,0.1172186,0.110842204,117.6830526
8297.95,0.588406,0.177,105.6527808,0.1176812,0.111256182,118.0861268
8322.12,0.591332,0.177,105.9605228,0.1182664,0.111779629,118.4920924
8348.56,0.593446,0.178,106.2971673,0.1186892,0.112157643,118.9134931
8371.05,0.596125,0.179,106.5835189,0.119225,0.112636482,119.290939
8396.92,0.598005,0.179,106.912906,0.119601,0.112972372,119.6997964
8420.05,0.600966,0.18,107.2074063,0.1201932,0.11350117,120.0930075
8444.48,0.603144,0.181,107.5184587,0.1206288,0.113889956,120.4882814
8469.17,0.605785,0.181,107.8328216,0.121157,0.114361188,120.8975227
8492.47,0.60774,0.182,108.1294864,0.121548,0.114709874,121.2724092
8515.9,0.610688,0.183,108.4278064,0.1221376,0.115235438,121.6709184
8539.05,0.612946,0.183,108.7225613,0.1225892,0.115637803,122.0507732
8562.39,0.615595,0.184,109.0197355,0.123119,0.116109636,122.4421363
8586.45,0.617614,0.185,109.3260769,0.1235228,0.116469106,122.83034
8607.9,0.620887,0.185,109.5991868,0.1241774,0.117051568,123.2089288
8631.52,0.622788,0.186,109.899926,0.1245576,0.117389714,123.588797
8653.88,0.625465,0.186,110.1846223,0.125093,0.117865699,123.9679473
8676.71,0.627427,0.187,110.4753029,0.1254854,0.118214409,124.3383405
8698.74,0.630401,0.188,110.7557976,0.1260802,0.118742753,124.7199107
8720.69,0.632732,0.188,111.0352737,0.1265464,0.11915667,125.0863878
8742.12,0.635438,0.189,111.3081289,0.1270876,0.119636961,125.4540118
8764.56,0.637418,0.19,111.5938438,0.1274836,0.119988247,125.8202288
8786.02,0.640426,0.19,111.867081,0.1280852,0.120521682,126.1955985
8806.61,0.642797,0.191,112.1292411,0.1285594,0.120941952,126.544509
8828.37,0.645466,0.192,112.406298,0.1290932,0.121414833,126.9171867
8849.27,0.647494,0.192,112.6724051,0.1294988,0.121773995,127.2633463
8869.6,0.650589,0.193,112.9312547,0.1301178,0.122321875,127.6256211
8889.86,0.653288,0.194,113.189213,0.1306576,0.12279941,127.9782439
8910.43,0.656131,0.194,113.4511184,0.1312262,0.123302177,128.3388775
8932.34,0.65833,0.195,113.7300852,0.131666,0.123690883,128.7044705
8952.4,0.660973,0.196,113.985497,0.1321946,0.124157873,129.0537642
8973.04,0.663263,0.196,114.2482936,0.1326526,0.124562315,129.4036268
8993.3,0.665594,0.197,114.506252,0.1331188,0.124973831,129.7491868
9012.93,0.668396,0.198,114.7561889,0.1336792,0.125468273,130.0967044
9033.28,0.671225,0.198,115.0152931,0.134245,0.125967231,130.4555212
9052.67,0.67351,0.199,115.2621743,0.134702,0.126370061,130.7882197
9072.51,0.67653,0.199,115.514785,0.135306,0.126902218,131.1446285
9089.98,0.678859,0.2,115.73722,0.1357718,0.12731242,131.4510707
9111.12,0.68204,0.201,116.0063828,0.136408,0.127872411,131.8305815
9130.81,0.684275,0.201,116.2570837,0.136855,0.128265678,132.1674469
9149.03,0.687218,0.202,116.4890679,0.1374436,0.128783288,132.4997448
9167.53,0.689244,0.203,116.7246172,0.1378488,0.129139462,132.8149657
9186.84,0.692284,0.203,116.9704798,0.1384568,0.129673661,133.1658381
9205.41,0.694367,0.204,117.2069204,0.1388734,0.130039528,133.4838439
9224.06,0.697382,0.205,117.4443796,0.1394764,0.130568859,133.8250988
9244.17,0.699473,0.205,117.700428,0.1398946,0.130935802,134.1660823
9262.76,0.70256,0.206,117.9371233,0.140512,0.131477284,134.5087043
9279.6,0.705358,0.207,118.1515368,0.1410716,0.131967821,134.8193631
9297.92,0.707603,0.207,118.3847943,0.1415206,0.132361233,135.1386814
9314.4,0.71044,0.208,118.5946242,0.142088,0.132858166,135.4454971
9334.54,0.712529,0.209,118.8510546,0.1425058,0.13322392,135.7880192
9352.45,0.715519,0.209,119.0790918,0.1431038,0.133747194,136.1197623
9369.87,0.718249,0.21,119.3008901,0.1436498,0.134224727,136.4384391
9388.13,0.720522,0.21,119.5333837,0.1441044,0.134622148,136.7586702
9407.21,0.722943,0.211,119.7763178,0.1445886,0.135045271,137.0946079
9422.65,0.726118,0.212,119.972906,0.1452236,0.135599902,137.3958033
9440.65,0.728825,0.212,120.2020891,0.145765,0.136072536,137.7233466
9457.27,0.731426,0.213,120.4137015,0.1462852,0.136526453,138.0284439
9475.4,0.733631,0.214,120.6445398,0.1467262,0.1369111,138.3462547
9491.98,0.736684,0.214,120.8556429,0.1473368,0.137443431,138.6621266
9509.19,0.739436,0.215,121.0747675,0.1478872,0.137923035,138.9801758
9525.9,0.742105,0.216,121.2875258,0.148421,0.138387955,139.2891417
9542.97,0.744794,0.216,121.5048678,0.1489588,0.138856141,139.6040871
9560.3,0.747614,0.217,121.7255202,0.1495228,0.1393469,139.9262608
9577.39,0.74982,0.218,121.9431168,0.149964,0.139730638,140.2301944
9593.29,0.752993,0.218,122.1455619,0.1505986,0.140282329,140.5405125
9610.92,0.754935,0.219,122.3700341,0.150987,0.140619835,140.8463184
9627.35,0.757785,0.22,122.5792273,0.151557,0.14111494,141.1569673
9644.38,0.760923,0.22,122.79606,0.1521846,0.141659792,141.4837293
9659.85,0.763112,0.221,122.9930302,0.1526224,0.142039694,141.7645216
9676.32,0.766385,0.222,123.2027327,0.153277,0.142607455,142.086878
9691.07,0.768702,0.222,123.3905355,0.1537404,0.143009186,142.3606458
9707.41,0.771425,0.223,123.5985829,0.154285,0.143481105,142.6679903
9722.94,0.774792,0.223,123.796317,0.1549584,0.144064326,142.9795962
9740.56,0.777145,0.224,124.0206618,0.155429,0.144471704,143.2970692
9756.58,0.779858,0.225,124.2246348,0.1559716,0.144941202,143.6001498
9773.35,0.782706,0.225,124.438157,0.1565412,0.145433827,143.9178555
9788.64,0.785546,0.226,124.6328354,0.1571092,0.145924826,144.2138004
9804.91,0.788103,0.227,124.8399914,0.1576206,0.146366692,144.5173458
9821.03,0.790289,0.227,125.0452377,0.1580578,0.146744292,144.8096128
9836.43,0.793104,0.228,125.2413166,0.1586208,0.147230332,145.1071944
9851.56,0.796361,0.229,125.4339577,0.1592722,0.147792394,145.4121001
9866.22,0.798645,0.229,125.6206146,0.159729,0.148186357,145.6858698
9881.07,0.801459,0.23,125.8096907,0.1602918,0.148671525,145.9759525
9896.05,0.804193,0.231,126.000422,0.1608386,0.149142675,146.2661534
9911.79,0.807222,0.231,126.2008299,0.1614444,0.149664403,146.5752471
9927.65,0.809705,0.232,126.4027657,0.161941,0.150091883,146.8725559
9943.26,0.811932,0.233,126.6015184,0.1623864,0.150475133,147.1598832
9957.41,0.814838,0.233,126.7816818,0.1629676,0.150975014,147.4429882
9973.23,0.817902,0.234,126.9831082,0.1635804,0.151501803,147.7550559
9988.19,0.820135,0.235,127.1735849,0.164027,0.151885545,148.0334865
10004,0.822854,0.235,127.3748841,0.1645708,0.152352607,148.3370706
10018.5,0.825586,0.236,127.5595038,0.1651172,0.152821683,148.6217719
10034.4,0.828394,0.236,127.7619489,0.1656788,0.153303578,148.9293953
10049,0.831043,0.237,127.9478419,0.1662086,0.153757974,149.2138735
10063,0.834306,0.238,128.1260954,0.1668612,0.154317409,149.5053694
10077.2,0.836843,0.238,128.3068954,0.1673686,0.154752156,149.7814409
10093.1,0.839808,0.239,128.5093405,0.1679616,0.155260007,150.0939749
10108,0.842066,0.24,128.6990532,0.1684132,0.155646589,150.3736726
